,listing_url,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
0,https://www.etsy.com/listing/1200201263/lace-flower-girl-lace-girl-dress-white?click_key=b6d601189c96e8508629761e5da57a7b15e52986%3A1200201263&click_sum=0fe83a37&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-3,ExklusivFestmode,5,Germany,0,0,1008,0.91,0.06,0.02,0.0,0.01,0,N.A.,N.A.,N.A.,N.A.,79.99,5.0
1,https://www.etsy.com/listing/700863869/beaded-lace-v-back-champagne-tulle?click_key=fca70ef7922568dfb7913f72b37600425a435471%3A700863869&click_sum=ee1d9ccd&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-4,MillyWeddingshop,14,United Kingdom,1,0,2696,0.0,0.0,0.0,0.0,0.0,11,Loved our dresses ! The girls were stunning - thank you for being so accommodating & rushing through order !,I cannot recommend this seller enough. She has made both my girls communion dresses and each was stunning. People couldn’t believe that these were made and sent and for such a low price. You cannot beat the quality and look for the price.,"The most stunning dress! Looks exactly like the photo. Very well made. Couldn’t of asked for a more beautiful flower girl dress for my daughter. Unfortunately wedding has been postponed until next year and probably won’t fit her :( but will definitely order again in the next size up for the next wedding date next year as I love it so much.
Thank you!",The dresses are absolutely stunning and so well made! I can't wait to see them on on my wedding day! Thank you so much ❤️,121.64,15.82
2,https://www.etsy.com/listing/708284763/baptism-dress-wedding-dress-flower-girl?click_key=863300ef248a2be237b1f1dc5a22e23687013817%3A708284763&click_sum=4dc163ac&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-5&sca=1&sts=1,VilmaKenti,3,Germany,1,0,267,0.99,0.01,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,58.0,2.9
3,https://www.etsy.com/listing/450146374/ivory-navy-blue-taffeta-stripe-v-back?click_key=61e58c523adbecd1ad3b6b82d321cbc6af1f96e4%3A450146374&click_sum=a5fa3f6e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-6&cns=1,MillyWeddingshop,14,United Kingdom,1,0,2696,0.0,0.0,0.0,0.0,0.0,16,These dresses are everything I could have wanted for my flower girls! The maker was so responsive and is beyond talented!  ,"Great dress, very nicely made and delivery time as promised!!  
Recommended A+++","Sizing seems to run a little on the bigger side but it's a beautifully made dress, especially for the price. Thank you, can't wait to have my girls wear them as flower girls!","Sizing seems to run a little on the bigger side but it's a beautifully made dress, especially for the price. Thank you, can't wait to have my girls wear them as flower girls!",110.05,15.82
4,https://www.etsy.com/listing/1039217328/purple-christmas-dress-flower-girl-dress?click_key=e607809aad06dccc3b5f0cd1819520724aceef75%3A1039217328&click_sum=dae94416&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-7&frs=1,SchoenBoutique,15,Germany,1,0,69,0.0,0.0,0.0,0.0,0.0,5,Beautifully crafted dresses that arrived lovingly packaged with me! I am thrilled and very much looking forward to seeing my two daughters in the clothes on my wedding day! Thank you very much!,An absolutely beautiful dress that fits so perfect on my little girl. This will be just as I imagined for my sisters wedding. Adorable!,The dress is simply a dream and Rimma the shop owner as well. She made everything possible in a very short time so that we had a matching dress for our event. Thank you Thank you Thank you 🙏🏻,My daughter and I like these skirts in your shop very much. They are specially designed and high quality. Thank you very much and will buy again：),68.2,0.0
5,https://www.etsy.com/listing/1101584304/christmas-photoshoot-linen-dress?click_key=654bc7db9aff2e9bc07239b542d25b7967d73a48%3A1101584304&click_sum=150aa7ea&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-8&frs=1,SchoenBoutique,15,Germany,0,0,69,0.0,0.0,0.0,0.0,0.0,7,"Beautiful dress, quality craftsmanship and great customer service! Thanks, Rimma!","Very nice book, I am delighted with my purchase",So lovely! Ordered for a wedding and it is delightful! So well made.,The dress is magical and would buy it again at any time!!,68.2,0.0
6,https://www.etsy.com/listing/509930204/satin-baptism-dress-for-girl-lace?click_key=cc28c57e97842ba14755b91ffbebe293addea803%3A509930204&click_sum=9449a239&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-1,ANNIILACE,6,Latvia,0,0,12,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,40.0,7.5
7,https://www.etsy.com/listing/701966294/flower-girl-dress-very-pretty-vintage?click_key=4004f5b5e717fca2b364effc123a88b6159890b7%3A701966294&click_sum=a11c1619&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-2,CocoFlowerGirls,9,United Kingdom,1,0,1748,0.0,0.0,0.0,0.0,0.0,4,"Thanks so much! I was expecting this to be posted a bit later than it was so glad it’s arrived now! Great seller communication and the dress is gorgeous! So soft and floaty, no scratchiness. My daughter is coming to my afternoon tea hen do and wanted a fairy dress with some
Sparkle and this fits the bill perfectly! We are sooo pleased with it, thanks very much. Highly recommend this shop and seller! 💖","It’s perfect I can’t wait until my wedding for the girls to wear them. I shipped them off to the girls I’ll update with a picture once they get them. . . . But it came exactly like the picture 😍🙌🏾

Be careful with the UK sizes I didn’t pay attention and had to return one of them 😩",Gorgeous dress look just ad pictured.,N.A.,49.22,24.32
8,https://www.etsy.com/listing/1196139481/princess-flower-girl-dress-with-train?click_key=14aba7641911e3f7a8738d782a04a13eb7361748%3A1196139481&click_sum=8fe8108d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-3,AFairytaleAwaitsYou,18,United Kingdom,1,0,262,0.89,0.05,0.02,0.01,0.03,0,N.A.,N.A.,N.A.,N.A.,115.84,29.2
9,https://www.etsy.com/listing/772404231/flower-girl-dress-pippas-middelton?click_key=3da669f0326d255c462a0f60d9aacbfc01f4576d%3A772404231&click_sum=95c99e1e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-4&frs=1,MariaPlateroKidsClot,14,Spain,0,0,350,0.97,0.01,0.01,0.0,0.01,0,N.A.,N.A.,N.A.,N.A.,96.0,0.0
