listing_url,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
https://www.etsy.com/listing/1061600356/powder-flower-girl-dress-powdery-dress?click_key=62e47267151b2a7bee8559e4abff6af2ed2c1762%3A1061600356&click_sum=6ecb1f44&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-152-7&frs=1&sts=1,HandmakerSID,0,Ukraine,0,853,115,0.95,0.02,0.01,0.02,0.01,0,N.A.,N.A.,N.A.,N.A.,79.27,0.0
https://www.etsy.com/listing/551340573/sleeveless-royal-blue-lace-satin-bias?click_key=24e9a30bde962333b2a8d24fa0a97d97b592ac30%3A551340573&click_sum=c51f59c2&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-152-8&pro=1,ToddlersAndTulle,11,"Maywood, CA",0,33789,5281,0.0,0.0,0.0,0.0,0.0,26,I loved my custom ordered flower girl dresses. Seller was great to work with and fast shipping.,The dress was just as beautiful in person as the picture on here. Great quality too!,"If you’re considering this dress- just buy it!!!! Super happy that I got this for my daughter. Customer service was beyond exceptional. Really great service, highly, highly recommend! Thank you for this beautiful dress 🤍🥰",OMG!! What a beautiful dress. I purchased for my daughter to wear at my wedding. minor alterations needed.,62.9,32.77
https://www.etsy.com/listing/68841498/the-original-big-girl-lace-petti-romper?click_key=3c1595c1606a42b6eba26074de61a622d580d275%3A68841498&click_sum=a5fbb8d0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-1,chicbabyrose,21,"Folsom, CA",0,15761,6329,0.0,0.0,0.0,0.0,0.0,50,sorry for the late feedback!  I got these a couple weeks ago and they are incredible!  Love them!,Just recieved the lace romper today..it is beautiful!!  The quality is amazing...,Fast shipping! So adorable...can't wait for some precious pictures! Love the pink!,"Chic Baby Rose was a pleasure to work with, the quality was fantastic and she sent it out super fast.  Thank you!  Looking forward to working with her again!",41.46,19.03
https://www.etsy.com/listing/779663959/tulle-childrens-flower-girl-baby-girls?click_key=814fc11a1c6e3035911f1d432bb07f3c3c02af14%3A779663959&click_sum=d0cf927a&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-2&sts=1,thetullecloud,17,United Kingdom,0,318,74,0.0,0.0,0.0,0.0,0.0,32,I absolutely love this tutu! It is amazing! My daughter wore it for her 1st birthday party and it was perfect! Excellent customer service too. I was a bit of a pain trying to match colour and whatnot but Emily was so helpful over and over again! I will definitely buy all of our future tutus from here! ⭐️,The tutu was stunning! Even better quality and floof than expected and was a great outfit for my daughters first birthday 🎉 was also surprising easy for baby to crawl/roll about in and was super durable! customer service was brilliant and very helpful! Would 100% purchase again from Emily and would recommend to anyone looking for similar items ❤️ thank you so much! Xxx,I absolutely love my daughter's tutu. It was perfect for her 1st birthday. From start to finish I was kept informed of how my order was progressing which I was very grateful for. I also specifically asked if this could be sent in time for my daughter's birthday and it arrived a few days before. Really appreciated that especially under the circumstances during lockdown. So pleased with my purchase and would definitely recommend xx,Could not be happier with this beautiful tutu! Purchased for my baby girls first birthday cake smash. I was looking for a full tutu and that is exactly what I got!! Thank you so much Emily! I would 100% recommend for product and customer service. Great all round xx,19.47,19.39
https://www.etsy.com/listing/1207355038/sky-blue-baby-dress-with-pearlsspecial?click_key=367ef046d752d704dd38c0533e3c83543037af87%3A1207355038&click_sum=50a2cf65&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-3&pro=1&frs=1&sts=1,asyababycouture,8,Turkey,0,568,195,0.95,0.02,0.01,0.01,0.01,0,N.A.,N.A.,N.A.,N.A.,155.84,0.0
https://www.etsy.com/listing/1024261402/claire-ankara-and-tulle-ball-dress?click_key=50502e700166fdbac012038b3b5ae37c9c6377db%3A1024261402&click_sum=489784c1&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-4&cns=1,NorasNeedleCouture,0,Nigeria,1,123,43,0.93,0.07,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,56.62,31.72
https://www.etsy.com/listing/1007294695/green-baby-girl-dress-with-detachable?click_key=183530e1fb9769ef253d44e6bfc66a6981f16944%3A1007294695&click_sum=1a8b5822&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-5&frs=1,ipeqa,12,Turkey,0,738,186,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,195.62,0.0
https://www.etsy.com/listing/1223023783/blue-tulle-baby-girl-dress-toddler-dress?click_key=979b1e21c2639511b5ed55d8f1da5c0e13ee3a40%3A1223023783&click_sum=74726fc8&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-6&pro=1&frs=1,Handyybaby,8,Turkey,0,64,25,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,97.06,0.0
https://www.etsy.com/listing/738177553/birthday-dress-flower-girl-dress-wedding?click_key=3b0418d4dee678f888535f30689e00d69b1e7adf%3A738177553&click_sum=b1384764&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-7&frs=1,FlowerGirlBoutiqueUA,0,Ukraine,0,120,23,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,247.44,0.0
https://www.etsy.com/listing/822688570/argentinian-guatemalan-nicaraguan-light?click_key=f6597365cfcc30547acff9c91b81783dfbdb5ba7%3A822688570&click_sum=6ccd199d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-153-8,DesignsByJNY,8,"San Angelo, TX",1,10332,2081,0.0,0.0,0.0,0.0,0.0,13,This dress is absolutely stunning! I ordered it for my little girls monthly photos this month and I’m in love 😍,"Beautiful Dress! I bought it for my little girl school hispanic event. 
It is exactly like the picture . Amazing shipping service. 
Size pretty accurate by the age. 
Thank you , you have beautiful things!",Ordered this for my daughter's Dual Language parade for Hispanic Heritage Month and it is perfect in every way and was shipped super quickly!!,Loved it ! Arrived on time for my daughters hispanic heritage activity at school,28.3,16.22
