listing_name,listing_url,listing_image,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
Flower Girl Dress Very Pretty Vintage Ruffles with Applique - Sky Blue,https://www.etsy.com/listing/701966294/flower-girl-dress-very-pretty-vintage?click_key=4004f5b5e717fca2b364effc123a88b6159890b7%3A701966294&click_sum=a11c1619&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-2,https://i.etsystatic.com/18619350/r/il/052e7a/2217078721/il_340x270.2217078721_g15n.jpg,CocoFlowerGirls,9,United Kingdom,1,10478,1748,0.0,0.0,0.0,0.0,0.0,4,"Thanks so much! I was expecting this to be posted a bit later than it was so glad it’s arrived now! Great seller communication and the dress is gorgeous! So soft and floaty, no scratchiness. My daughter is coming to my afternoon tea hen do and wanted a fairy dress with some
Sparkle and this fits the bill perfectly! We are sooo pleased with it, thanks very much. Highly recommend this shop and seller! 💖","It’s perfect I can’t wait until my wedding for the girls to wear them. I shipped them off to the girls I’ll update with a picture once they get them. . . . But it came exactly like the picture 😍🙌🏾

Be careful with the UK sizes I didn’t pay attention and had to return one of them 😩",Gorgeous dress look just ad pictured.,N.A.,49.22,24.32
"Princess Flower Girl Dress With Train - Ivory or White, Bridesmaid, First Communion",https://www.etsy.com/listing/1196139481/princess-flower-girl-dress-with-train?click_key=14aba7641911e3f7a8738d782a04a13eb7361748%3A1196139481&click_sum=8fe8108d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-3,https://i.etsystatic.com/27262765/r/il/9a2bc7/3936907261/il_340x270.3936907261_lhbp.jpg,AFairytaleAwaitsYou,18,United Kingdom,1,868,262,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,115.84,29.2
Flower girl dress Pippas Middelton wedding dress model. Royal wedding girl dresses. Whole white silk . Big bow. Cute girl dress for weddings,https://www.etsy.com/listing/772404231/flower-girl-dress-pippas-middelton?click_key=3da669f0326d255c462a0f60d9aacbfc01f4576d%3A772404231&click_sum=95c99e1e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-4&frs=1,https://i.etsystatic.com/9746221/r/il/13d8b0/2161376766/il_340x270.2161376766_lab2.jpg,MariaPlateroKidsClot,14,Spain,0,2225,350,0.97,0.01,0.01,0.0,0.01,0,N.A.,N.A.,N.A.,N.A.,96.0,0.0
"Christening dress, wedding dress, old pink/white in linen, lace and cotton selectable with hairband, hat or candle decoration",https://www.etsy.com/listing/987867780/christening-dress-wedding-dress-old?click_key=e6dfe32c75b1570733928b9d1b73d0d0eb684aaf%3A987867780&click_sum=40f2a27c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-5&sca=1&sts=1,https://i.etsystatic.com/20277833/r/il/397a72/3091981402/il_340x270.3091981402_sy64.jpg,VilmaKenti,3,Germany,1,860,267,0.0,0.0,0.0,0.0,0.0,6,"Super fast shipping. The dress is high-quality processed, fits exactly and is beautiful. Thanks for that!","Very nice contact. Super nice dress. Unfortunately, the rose fell off on the day of baptism.But I still recommend the shop because the dress has👍🏼 a great quality.",Beautiful dresses made of very nice soft fabric. The specified size fits perfectly and the workmanship is great! Communication with Vilma also works great! A clear recommendation and always again!,A beautiful dress. Fits perfectly.,65.0,2.9
School Enrollment Dress Flower Girl Dress Swinging Dress in Pink and Blue,https://www.etsy.com/listing/623966882/school-enrollment-dress-flower-girl?click_key=6d8b757748b5774de502bf890abb96e093040971%3A623966882&click_sum=c4d10408&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-6,https://i.etsystatic.com/18324681/r/il/76ee14/1595279014/il_340x270.1595279014_src8.jpg,paulapustekuchen,14,Germany,0,574,214,0.0,0.0,0.0,0.0,0.0,12,Such a wonderful first day of school thanks to your support - the dress fit perfectly and the school bag was a dream - thank you very much - Nina was so happy - from today her favorite dress,The dress meets exactly the expectations! It swings beautifully and makes our daughter happy every day anew. Very cleanly processed and very pleasant skin feeling of the fabric.Marén makes a sympathetic impression via the mail - the dress even arrived lovingly packaged.Would I buy again at any time!,The dress looks exactly like in the photos. Fits wonderfully. Mom and daughter are very enthusiastic 🥰👍,The back-to-school dress more than met our expectations. It is very nicely crafted and fits perfectly.The contact was also super nice and I felt in good hands.,59.9,4.9
"Flower girl dress, Birthday Dress, Baby Dress, Lace Dress, Tulle Dress, Wedding, MODEL II004",https://www.etsy.com/listing/969571460/flower-girl-dress-birthday-dress-baby?click_key=f4c0ec4b078eba09a4807c9ba34da473b6f9a255%3A969571460&click_sum=7779a2db&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-7&pro=1,https://i.etsystatic.com/27889316/r/il/4abede/2998837369/il_340x270.2998837369_rdlh.jpg,HerMajestyFlowerGirl,16,Poland,1,2705,430,0.91,0.05,0.02,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,59.1,21.11
Cognac Flutter Sleeves Tiered Baby Girl Linen Dress with Neckline Ruffle and Back Wooden Buttons | Easter Birthday Spring Flower Girl Dress,https://www.etsy.com/listing/1179152639/cognac-flutter-sleeves-tiered-baby-girl?click_key=d4154e312d6f3bccc601a30550b33b4658abd047%3A1179152639&click_sum=a3f69a65&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-8&sts=1,https://i.etsystatic.com/28950326/c/1893/1505/242/105/il/61c269/3910071886/il_340x270.3910071886_snwl.jpg,OliveNaturalWear,16,Romania,1,59,24,1.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,66.0,7.0
Bohemian Style Long Length Lace 3/4 Sleeve Hunter Green Classic Flower Girl Dress,https://www.etsy.com/listing/1080337303/bohemian-style-long-length-lace-34?click_key=f186231f8416d423ddde9c9a7c5b7f87393ac61b%3A1080337303&click_sum=ac41e45f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-1,https://i.etsystatic.com/18619350/r/il/5e42b9/3360128201/il_340x270.3360128201_p3hd.jpg,CocoFlowerGirls,9,United Kingdom,1,10478,1748,0.93,0.04,0.01,0.01,0.01,0,N.A.,N.A.,N.A.,N.A.,63.7,24.32
"Lavender flower girl dress, linen ruffle pinafore baby dress, girl's 1st birthday dress, white baptism dress toddler, baptism gown baby girl",https://www.etsy.com/listing/990405959/lavender-flower-girl-dress-linen-ruffle?click_key=e28fe5541c1332730099398235c9e0e508989293%3A990405959&click_sum=64f09b74&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-2,https://i.etsystatic.com/25049536/r/il/402895/3099934209/il_340x270.3099934209_nsuk.jpg,TinyLinenStories,14,Lithuania,0,758,130,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,60.0,0.0
"Gold Ivory Flower Girl Dress, gold bridesmaid dress, couture flower girl gown, bespoke girls dress, tulle princess dress, gold Ivory tutu",https://www.etsy.com/listing/585522745/gold-ivory-flower-girl-dress-gold?click_key=675d19b2bd8dcac4d16a575f7d4f4b1386e97f30%3A585522745&click_sum=73d4c218&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-3&pro=1&frs=1&sts=1,https://i.etsystatic.com/8920903/r/il/2701c3/1397080246/il_340x270.1397080246_73wj.jpg,MimozaLuxury,2,Bulgaria,0,3322,607,0.95,0.02,0.0,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,97.35,0.0
