listing_url,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
https://www.etsy.com/listing/941605319/burgundy-flower-girl-dress-black-lace?click_key=e1149eba4b1e280e5bf28fd4a0f1c8ef588e6360%3A941605319&click_sum=cda2bc79&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-3,MissDandyAtelier,10,Spain,1,7936,985,0.91,0.06,0.02,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,34.95,8.0
https://www.etsy.com/listing/205196425/emerald-green-flower-girl-dress-jade?click_key=839889fb93d560aed6ac7b71162ff60d61db9ea2%3A205196425&click_sum=cbc85a44&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-4&pro=1&frs=1&sts=1,MimozaLuxury,2,Bulgaria,0,3322,607,0.95,0.02,0.0,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,72.71,0.0
https://www.etsy.com/listing/940908639/ivory-flower-girl-dress-organic-muslin?click_key=a3e5b61fdedb3ad35347873b8e0df1e10dd9fdb4%3A940908639&click_sum=763e3ca9&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-5,TinyLinenStories,9,Lithuania,0,759,130,0.98,0.01,0.02,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,38.0,0.0
https://www.etsy.com/listing/772403665/flower-girl-dress-pippas-middelton?click_key=3ea92eaafd02e4b4985e9ab03da512810442ba7a%3A772403665&click_sum=0db939a5&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-6&frs=1,MariaPlateroKidsClot,14,Spain,0,2225,351,0.0,0.0,0.0,0.0,0.0,34,"Maria , we had our wedding this last weekend ! Annabelle’s flower girl dress was a hit ! It fit her perfectly , there were so many wonderful comments about it ! It was so adorable on her ! Only one thing .. the buttons on the back kept opening !! But other than that it was perfect ! Thank you Maria !
Carol Ann KNEESHAW","What a great experience ordering three precious flower girl dresses from Maria! I ordered two Pippa dresses and one T-length Flower Girl dress for my three grand-daughters (ages 4, 2, and 2) for their uncle's wedding in July, and they just arrived. The dresses are beautiful - classic and charming and very well made - and fit beautifully, based both on sizing and on measurements you can send in with your order. I was worried that there wasn't enough time to receive the dresses before the wedding, especially if alterations were needed, and especially since the dresses are made in Spain and I live in Texas! No worries - all arrived very quickly and fit well, with some room. Maria was very easy to correspond with, and responsive to questions. Thank you so much, Maria! So glad we found you!! Will send a photo after the wedding!",My flower girls looked absolutely precious in these gorgeous dresses,The dress is beautiful. Custom for our 18 month old peanut. Maria suggested bloomers to cover diaper which was a great idea. Delivered quickly and communication was excellent throughout. Thank you.,96.0,0.0
https://www.etsy.com/listing/933953364/flower-girl-dress-lace-flower-girl-dress?click_key=510ca71bef07c1970c656ef46225a0a24e116f86%3A933953364&click_sum=a1ac3a54&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-7&pro=1,BeverlyCoStore,0,Ukraine,0,355,84,0.0,0.0,0.0,0.0,0.0,6,"The dress was a little bit different of the picture, but so beautiful and I received my kid’s dresses so fast thanks, thanks :) I’m happy with the dresses","This item was truly stunning, I was paranoid that it wouldn't be the same as the picture, however Olga was fantastic at reassuring me. She made the dress in amazing time and managed to get it sent across to me in time for my daughters christening. (I gave her less than 2 weeks notice) she stayed in contact throughout the period between it's dispatch to arrival. To say I was happy with the dress was an understatement, I cannot recommend her enough. My expectations were exceeded. Sometimes when you order outfits that have been made to measure they can be a little rushed, this was not the case here, the dress was perfect and made lovingly.","the design of the front of the dress was different from the described photo, but nice dress and it arrived on time",Amazing. Worth every penny and spot on.,102.84,52.86
https://www.etsy.com/listing/223652231/brown-flower-girl-dress-tutu-dress?click_key=e1384cf41f716f9e3c94170afd1f6995e6e6da47%3A223652231&click_sum=446dfbb5&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-8&pro=1&frs=1&sts=1,MimozaLuxury,2,Bulgaria,0,3322,607,0.95,0.02,0.0,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,72.71,0.0
https://www.etsy.com/listing/1176845351/baptism-dress-rustic-flower-girl-dress?click_key=7cd2160290a4172646fa163fc52a02e020af5057%3A1176845351&click_sum=f1010b83&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-1,MissDandyAtelier,8,Spain,1,7936,985,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,54.95,10.0
https://www.etsy.com/listing/1076974489/ivory-flower-girl-dress-junior?click_key=7b3ce042a066241f86e7e3eb11f82776e2b5ee44%3A1076974489&click_sum=c0cac34e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-2&pro=1,JuliAnnaDress,15,Poland,1,1412,336,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,133.89,21.14
https://www.etsy.com/listing/584615085/bohemian-white-lace-flower-girl-dress?click_key=e3c7f89870f8cbbf5f9937c0256d0055820a1567%3A584615085&click_sum=1c496f92&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-3&sts=1,NicolettesCouture,7,"Dubuque, IA",1,69452,10781,0.0,0.0,0.0,0.0,0.0,4,"Shipping was fast. The owner was very nice ans she helped me find what I needed. My daughter wore this dress for my recent wedding on 4/14/18, and it was a hit. Everyone loved her dress.","I am so happy with this dress, my flower girl is going to look so adorable in it!!","My daughter hasn’t worn it yet, but it looks beautiful.",N.A.,99.38,37.0
https://www.etsy.com/listing/968523261/bohemian-boho-flower-girl-dress-white?click_key=b79b4cf3a3f1d7cceef0264910f61593518fd080%3A968523261&click_sum=6da6bb98&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-4,MissDandyAtelier,13,Spain,1,7936,985,0.91,0.06,0.02,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,32.95,8.0
