listing_name,listing_url,listing_image,shop_name,start_price,size_options,ship_cost_germany,allows_returns,shop_location,shop_rating,shop_review_counts,item_review_counts,customer_item_reviews
"Girls Baby Blue Lace Tulle Dress, Sky Blue Dress, Girls Party Dress, Flower Girl Dress",https://www.etsy.com/listing/1267301182/girls-baby-blue-lace-tulle-dress-sky?click_key=7e7970db7c43d4c1d7bf5b3ddc30041a53c359c0%3A1267301182&click_sum=a0fb904b&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-3&frs=1,https://i.etsystatic.com/36673992/c/1242/987/0/302/il/86852f/4110137243/il_340x270.4110137243_a9tv.jpg,MadameSaram,99.70,14,0,0,Germany,5,41,0,N.A.
"Baptism dress, wedding dress, flower girl dress",https://www.etsy.com/listing/708284763/baptism-dress-wedding-dress-flower-girl?click_key=12828bf7201b9b78cf80f5dbe1bf414a584a9a9e%3A708284763&click_sum=ab161ce0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-4&sca=1&sts=1,https://i.etsystatic.com/20277833/c/1620/1080/0/0/il/634926/2379787702/il_340x270.2379787702_72yv.jpg,VilmaKenti,58.00,3,0,1,Germany,5,267,0,N.A.
Dress Spring Girl Baby Flower Girl Muslin Birthday Outfit Wedding Guest Girl Dress Baby Dress Flowers School Enrollment Summer Dress,https://www.etsy.com/listing/1159003047/dress-spring-girl-baby-flower-girl?click_key=5fc299c3634d6340dbd14ecd66c885c7dd1af1d6%3A1159003047&click_sum=21997062&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-5&sts=1,https://i.etsystatic.com/32004291/c/2250/1788/0/490/il/b94a34/3713411582/il_340x270.3713411582_9did.jpg,LittleWonderDE,33.90,10,0,1,Germany,5,546,5,"['Had already asked before the purchase, how long it takes approximately until the things are there. :) So that you have them on time, but they are not already too small, because the little ones grow so fast. :D  Super nice contact! And it was perfectly timed. The dress and sweater are super nice. Great quality. Simply perfect!', 'Nicole really responds to you. Since I was unsure about the size for my daughter, she made a special size for me. Then there were problems with shipping/we thought the package had been lost, and she sat right next to it to provide a replacement.The dress has a great quality and is high-quality processed.Thank you very much for the great dress!', 'N.A.', 'N.A.']"
"Flower girl dress, Linen dress with lace, First communion",https://www.etsy.com/listing/1156429298/flower-girl-dress-linen-dress-with-lace?click_key=0c8fa5821a7089afbd1703114023a3eb90f0595e%3A1156429298&click_sum=1a61605d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-6&sts=1,https://i.etsystatic.com/7799154/c/2000/1589/0/538/il/ea3b46/3767316073/il_340x270.3767316073_hkfk.jpg,GioCrochetAndMore,85.00,8,0,1,Italy,5,208,0,N.A.
purple christmas dress flower girl dress toddler linen dress,https://www.etsy.com/listing/1039217328/purple-christmas-dress-flower-girl-dress?click_key=21f9701f3e3b94adce397a1a95cd0e15c0299e78%3A1039217328&click_sum=0119dab8&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-7&frs=1,https://i.etsystatic.com/30993712/r/il/c41adc/3210873604/il_340x270.3210873604_san2.jpg,SchoenBoutique,68.20,15,0,1,Germany,5,69,5,"['Beautifully crafted dresses that arrived lovingly packaged with me! I am thrilled and very much looking forward to seeing my two daughters in the clothes on my wedding day! Thank you very much!', 'An absolutely beautiful dress that fits so perfect on my little girl. This will be just as I imagined for my sisters wedding. Adorable!', 'The dress is simply a dream and Rimma the shop owner as well. She made everything possible in a very short time so that we had a matching dress for our event. Thank you Thank you Thank you 🙏🏻', 'My daughter and I like these skirts in your shop very much. They are specially designed and high quality. Thank you very much and will buy again：)']"
"Lace Flower Girl, Lace Girl Dress, White Lace Dress, Flower Girl Dress White Lace, Communion Dress Gr.122,128,134,140,146",https://www.etsy.com/listing/1200201263/lace-flower-girl-lace-girl-dress-white?click_key=d45dcc0373837d088c838cbc12110d2be64a88c5%3A1200201263&click_sum=70161d42&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-8,https://i.etsystatic.com/18260361/c/750/596/0/28/il/0359d8/3787421022/il_340x270.3787421022_3q1d.jpg,ExklusivFestmode,79.99,5,0,1,Germany,5,1.008,0,N.A.
Three Quarter Sleeve Classic Bohemian Style Long Length Lace Flower Girl Bridesmaid Dress - Daffodil Sunshine Yellow,https://www.etsy.com/listing/1005741836/three-quarter-sleeve-classic-bohemian?click_key=1d62b0e973d96af1121b0953da8ca6b959958201%3A1005741836&click_sum=7724a97b&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-1,https://i.etsystatic.com/18619350/r/il/6274cf/3235165545/il_340x270.3235165545_m85g.jpg,CocoFlowerGirls,56.40,6,0,1,United Kingdom,5,1.745,6,"['Absolutely stunning dress for a flower girl. Seller was easily contactable and very helpful!', 'N.A.', 'N.A.', 'N.A.']"
"Princess Flower Girl Dress With Train - Ivory or White, Bridesmaid, First Communion",https://www.etsy.com/listing/1196139481/princess-flower-girl-dress-with-train?click_key=a06c7968bdf15d67f2debd0450a35e32f798527a%3A1196139481&click_sum=0c20e6a6&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-2,https://i.etsystatic.com/27262765/r/il/9a2bc7/3936907261/il_340x270.3936907261_lhbp.jpg,AFairytaleAwaitsYou,115.72,18,0,1,United Kingdom,5,259,0,N.A.
Sleeveless Long Length Blush Bohemian Flower Girl Dress - Blush with Optional Flower Waist Corsage,https://www.etsy.com/listing/781657766/sleeveless-long-length-blush-bohemian?click_key=53d350cadb84b3a5fc317ab0ff30973130f92349%3A781657766&click_sum=be406638&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-3,https://i.etsystatic.com/18619350/r/il/42aab8/2504618104/il_340x270.2504618104_9zt4.jpg,CocoFlowerGirls,63.63,9,0,1,United Kingdom,5,1.745,0,N.A.
Navy Flower girl dress,https://www.etsy.com/listing/246277853/navy-flower-girl-dress?click_key=6e8909efd597bf9ef1b3cb3281f3e1ea2a82945a%3A246277853&click_sum=9e05338f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-4&pro=1&frs=1&sts=1,https://i.etsystatic.com/8920903/c/630/500/718/266/il/9a2db1/826332089/il_340x270.826332089_2odw.jpg,MimozaLuxury,61.99,2,0,0,Bulgaria,5,607,0,N.A.
Cognac Flutter Sleeves Tiered Baby Girl Linen Dress with Neckline Ruffle and Back Wooden Buttons | Easter Birthday Spring Flower Girl Dress,https://www.etsy.com/listing/1179152639/cognac-flutter-sleeves-tiered-baby-girl?click_key=c5e0a14c9ba31bd23e2ade5b098e59ff13f74903%3A1179152639&click_sum=58b9e3ea&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-5&sts=1,https://i.etsystatic.com/28950326/c/1893/1505/242/105/il/61c269/3910071886/il_340x270.3910071886_snwl.jpg,OliveNaturalWear,66.00,16,0,1,Romania,5,24,0,N.A.
"Flower girl dress, Birthday Dress, Baby Dress, Lace Dress, Tulle Dress, Wedding, MODEL II004",https://www.etsy.com/listing/969571460/flower-girl-dress-birthday-dress-baby?click_key=ea0be9f2b9228e97ac50feb59ac07eb27395c57e%3A969571460&click_sum=eb5f5847&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-6,https://i.etsystatic.com/27889316/r/il/4abede/2998837369/il_340x270.2998837369_rdlh.jpg,HerMajestyFlowerGirl,73.46,16,0,1,Poland,5,430,0,N.A.
Flower Girl Dress Short Sleeves Ivory Satin Silver Gray Tulle with big bow M0014,https://www.etsy.com/listing/262480141/flower-girl-dress-short-sleeves-ivory?click_key=c0bfcf8f480f15f30f4d757be35f7e21747c8eca%3A262480141&click_sum=19f267fc&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-7&etp=1,https://i.etsystatic.com/12079668/r/il/01e02a/897582864/il_340x270.897582864_6723.jpg,MillyWeddingshop,101.25,14,0,1,United Kingdom,5,2.696,51,"[""I had a dress made for my daughters first birthday and I couldn't have been happier!! I had it custom made to the colours of her party and it came out exactly how I imagined and got so many compliments!! Xx"", 'Working with Milly Wedding Shop was wonderful!  In a time crunched panic I reached out to them and they were able to make two dresses and get them to me in plenty of time!  Most importantly the dresses were PERFECT!  Absolutely beautiful work!  To a T exactly what I was looking for!  I could not have asked for better from all aspects!  Thank you for everything!!', 'We asked for a few modifications and there was no problem in accommodating!  Our 3 flower girls loved their dresses and they fit great!  ', ""Highly recommend, millie did mine without sleeves as it was for summer & they're gorgeous!!! Thankyou so much x""]"
